,Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
81,81,2,09/01/18,07:30:00 PM,Sat,Vanderbilt,35,,Middle Tennessee State,7,Vanderbilt Stadium - Nashville Tennessee
82,82,2,09/01/18,12:00:00 PM,Sat,Villanova,19,@,Temple,17,Lincoln Financial Field - Philadelphia Pennsylvania
83,83,2,09/01/18,06:00:00 PM,Sat,Virginia,42,,Richmond,13,Scott Stadium - Charlottesville Virginia
84,84,2,09/01/18,03:30:00 PM,Sat,Washington State,41,@,Wyoming,19,Jonah Field War Memorial Stadium - Laramie Wyoming
85,85,2,09/01/18,03:30:00 PM,Sat,(17) West Virginia,40,,Tennessee,14,Bank of America Stadium - Charlotte North Carolina
86,86,2,09/02/18,07:30:00 PM,Sun,(25) Louisiana State,33,,(8) Miami (FL),17,AT&T Stadium - Arlington Texas
87,87,2,09/02/18,03:30:00 PM,Sun,North Carolina A&T,28,@,East Carolina,23,Dowdy-Ficklen Stadium - Greenville North Carolina
88,88,2,09/03/18,08:00:00 PM,Mon,(20) Virginia Tech,24,@,(19) Florida State,3,Doak Campbell Stadium - Tallahassee Florida
89,89,3,09/07/18,08:00:00 PM,Fri,(16) Texas Christian,42,@,Southern Methodist,12,Gerald J. Ford Stadium - Dallas Texas
90,90,3,09/08/18,,Sat,Akron,41,,Morgan State,7,InfoCision Stadium - Akron Ohio
91,91,3,09/08/18,,Sat,(1) Alabama,57,,Arkansas State,7,Bryant-Denny Stadium - Tuscaloosa Alabama
92,92,3,09/08/18,,Sat,Appalachian State,45,@,Charlotte,9,Jerry Richardson Stadium - Charlotte North Carolina
93,93,3,09/08/18,,Sat,Arizona State,16,,(15) Michigan State,13,Sun Devil Stadium - Tempe Arizona
94,94,3,09/08/18,12:00:00 PM,Sat,Army,38,,Liberty,14,Michie Stadium - West Point New York
95,95,3,09/08/18,07:30:00 PM,Sat,(7) Auburn,63,,Alabama State,9,Jordan-Hare Stadium - Auburn Alabama
96,96,3,09/08/18,07:00:00 PM,Sat,Baylor,37,@,Texas-San Antonio,20,Alamodome - San Antonio Texas
97,97,3,09/08/18,10:15:00 PM,Sat,(20) Boise State,62,,Connecticut,7,Albertsons Stadium - Boise Idaho
