"","Rk","Wk","Date","Time","Day","Winner","Pts","","Loser","Pts.1","TV"
"161","159","3","Sep 9, 2017","","Sat","Washington State","47","","Boise State","44",""
"162","160","3","Sep 9, 2017","","Sat","West Virginia","56","","East Carolina","20",""
"163","161","3","Sep 9, 2017","","Sat","Wisconsin","31","","Florida Atlantic","14",""
"164","162","3","Sep 9, 2017","","Sat","Wyoming","27","","Non-Major","0",""
"166","163","4","Sep 14, 2017","","Thu","Boise State","28","","New Mexico","14",""
"167","164","4","Sep 15, 2017","","Fri","Arizona","63","@","Texas-El Paso","16",""
"168","165","4","Sep 15, 2017","","Fri","South Florida","47","","Illinois","23",""
"169","166","4","Sep 15, 2017","","Fri","Temple","29","","Massachusetts","21",""
"170","167","4","Sep 16, 2017","","Sat","Alabama","41","","Colorado State","23",""
"171","168","4","Sep 16, 2017","","Sat","Alabama-Birmingham","30","","Coastal Carolina","23",""
"172","169","4","Sep 16, 2017","","Sat","Appalachian State","20","@","Texas State","13",""
"173","170","4","Sep 16, 2017","","Sat","Arkansas State","48","","Non-Major","3",""
"174","171","4","Sep 16, 2017","","Sat","Auburn","24","","Non-Major","10",""
"175","172","4","Sep 16, 2017","","Sat","Ball State","28","","Non-Major","13",""
"176","173","4","Sep 16, 2017","","Sat","Buffalo","33","","Non-Major","10",""
"177","174","4","Sep 16, 2017","","Sat","California","27","","Mississippi","16",""
"178","175","4","Sep 16, 2017","","Sat","Cincinnati","21","@","Miami (OH)","17",""
"179","176","4","Sep 16, 2017","","Sat","Clemson","47","@","Louisville","21",""
"180","177","4","Sep 16, 2017","","Sat","Colorado","41","","Non-Major","21",""
"181","178","4","Sep 16, 2017","","Sat","Duke","34","","Baylor","20",""
"182","179","4","Sep 16, 2017","","Sat","Florida","26","","Tennessee","20",""
"183","180","4","Sep 16, 2017","","Sat","Florida Atlantic","45","","Non-Major","0",""
"184","181","4","Sep 16, 2017","","Sat","Georgia","42","","Non-Major","14",""
"185","182","4","Sep 16, 2017","","Sat","Houston","38","","Rice","3",""
"186","183","4","Sep 16, 2017","","Sat","Non-Major","30","@","Nevada","28",""
"187","184","4","Sep 16, 2017","","Sat","Iowa","31","","North Texas","14",""
"188","185","4","Sep 16, 2017","","Sat","Iowa State","41","@","Akron","14",""
"189","186","4","Sep 16, 2017","","Sat","Kentucky","23","@","South Carolina","13",""
"190","187","4","Sep 16, 2017","","Sat","Louisiana Tech","23","@","Western Kentucky","22",""
"191","188","4","Sep 16, 2017","","Sat","Marshall","21","","Kent State","0",""
"192","189","4","Sep 16, 2017","","Sat","Memphis","48","","UCLA","45",""
"193","190","4","Sep 16, 2017","","Sat","Michigan","29","","Air Force","13",""
"194","191","4","Sep 16, 2017","","Sat","Minnesota","34","","Middle Tennessee State","3",""
"195","192","4","Sep 16, 2017","","Sat","Mississippi State","37","","Louisiana State","7",""
"196","193","4","Sep 16, 2017","","Sat","North Carolina","53","@","Old Dominion","23",""
"197","194","4","Sep 16, 2017","","Sat","Non-Major","35","@","Non-Major","31",""
"198","195","4","Sep 16, 2017","","Sat","North Carolina State","49","","Non-Major","16",""
"199","196","4","Sep 16, 2017","","Sat","Northern Illinois","21","@","Nebraska","17",""
"200","197","4","Sep 16, 2017","","Sat","Northwestern","49","","Bowling Green State","7",""
"201","198","4","Sep 16, 2017","","Sat","Notre Dame","49","@","Boston College","20",""
"202","199","4","Sep 16, 2017","","Sat","Ohio","42","","Kansas","30",""
"203","200","4","Sep 16, 2017","","Sat","Ohio State","38","","Army","7",""
"204","201","4","Sep 16, 2017","","Sat","Oklahoma","56","","Tulane","14",""
"205","202","4","Sep 16, 2017","","Sat","Oklahoma State","59","@","Pittsburgh","21",""
"206","203","4","Sep 16, 2017","","Sat","Oregon","49","@","Wyoming","13",""
"207","204","4","Sep 16, 2017","","Sat","Penn State","56","","Georgia State","0",""
"208","205","4","Sep 16, 2017","","Sat","Purdue","35","@","Missouri","3",""
"209","206","4","Sep 16, 2017","","Sat","Rutgers","65","","Non-Major","0",""
"210","207","4","Sep 16, 2017","","Sat","San Diego State","20","","Stanford","17",""
"211","208","4","Sep 16, 2017","","Sat","South Alabama","45","","Non-Major","0",""
"212","209","4","Sep 16, 2017","","Sat","Southern California","27","","Texas","24",""
"213","210","4","Sep 16, 2017","","Sat","Southern Mississippi","28","@","Louisiana-Monroe","17",""
"214","211","4","Sep 16, 2017","","Sat","Syracuse","41","","Central Michigan","17",""
"215","212","4","Sep 16, 2017","","Sat","Texas A&M","45","","Louisiana","21",""
"216","213","4","Sep 16, 2017","","Sat","Texas Christian","56","","Southern Methodist","36",""
"217","214","4","Sep 16, 2017","","Sat","Texas Tech","52","","Arizona State","45",""
"218","215","4","Sep 16, 2017","","Sat","Texas-San Antonio","51","","Non-Major","17",""
"219","216","4","Sep 16, 2017","","Sat","Toledo","54","","Tulsa","51",""
"220","217","4","Sep 16, 2017","","Sat","Troy","27","@","New Mexico State","24",""
"221","218","4","Sep 16, 2017","","Sat","Utah","54","","San Jose State","16",""
"222","219","4","Sep 16, 2017","","Sat","Vanderbilt","14","","Kansas State","7",""
"223","220","4","Sep 16, 2017","","Sat","Virginia","38","","Connecticut","18",""
"224","221","4","Sep 16, 2017","","Sat","Virginia Tech","64","@","East Carolina","17",""
"225","222","4","Sep 16, 2017","","Sat","Wake Forest","46","","Utah State","10",""
"226","223","4","Sep 16, 2017","","Sat","Washington","48","","Fresno State","16",""
"227","224","4","Sep 16, 2017","","Sat","Washington State","52","","Oregon State","23",""
"228","225","4","Sep 16, 2017","","Sat","West Virginia","59","","Non-Major","16",""
"229","226","4","Sep 16, 2017","","Sat","Western Michigan","37","","Idaho","28",""
"230","227","4","Sep 16, 2017","","Sat","Wisconsin","40","@","Brigham Young","6",""
"232","228","5","Sep 21, 2017","","Thu","South Florida","43","","Temple","7",""
"233","229","5","Sep 22, 2017","","Fri","Utah","30","@","Arizona","24",""
"234","230","5","Sep 22, 2017","","Fri","Virginia","42","@","Boise State","23",""
"235","231","5","Sep 23, 2017","","Sat","Alabama","59","@","Vanderbilt","0",""
"236","232","5","Sep 23, 2017","","Sat","Arizona State","37","","Oregon","35",""
"237","233","5","Sep 23, 2017","","Sat","Auburn","51","@","Missouri","14",""
"238","234","5","Sep 23, 2017","","Sat","Buffalo","34","","Florida Atlantic","31",""
"239","235","5","Sep 23, 2017","","Sat","Central Florida","38","@","Maryland","10",""
"240","236","5","Sep 23, 2017","","Sat","Clemson","34","","Boston College","7",""
"241","237","5","Sep 23, 2017","","Sat","Duke","27","@","North Carolina","17",""
"242","238","5","Sep 23, 2017","","Sat","Florida","28","@","Kentucky","27",""
"243","239","5","Sep 23, 2017","","Sat","Florida International","13","@","Rice","7",""
"244","240","5","Sep 23, 2017","","Sat","Georgia","31","","Mississippi State","3",""
"245","241","5","Sep 23, 2017","","Sat","Georgia State","28","@","Non-Major","0",""
"246","242","5","Sep 23, 2017","","Sat","Georgia Tech","35","","Pittsburgh","17",""
"247","243","5","Sep 23, 2017","","Sat","Idaho","29","@","South Alabama","23",""
"248","244","5","Sep 23, 2017","","Sat","Indiana","52","","Georgia Southern","17",""
"249","245","5","Sep 23, 2017","","Sat","Louisiana State","35","","Syracuse","26",""
"250","246","5","Sep 23, 2017","","Sat","Louisiana-Monroe","56","@","Louisiana","50",""
"251","247","5","Sep 23, 2017","","Sat","Louisville","42","","Kent State","3",""
"252","248","5","Sep 23, 2017","","Sat","Memphis","44","","Non-Major","31",""
"253","249","5","Sep 23, 2017","","Sat","Miami (FL)","52","","Toledo","30",""
"254","250","5","Sep 23, 2017","","Sat","Miami (OH)","31","@","Central Michigan","14",""
"255","251","5","Sep 23, 2017","","Sat","Michigan","28","@","Purdue","10",""
"256","252","5","Sep 23, 2017","","Sat","Middle Tennessee State","24","","Bowling Green State","13",""
"257","253","5","Sep 23, 2017","","Sat","Navy","42","","Cincinnati","32",""
"258","254","5","Sep 23, 2017","","Sat","Nebraska","27","","Rutgers","17",""
"259","255","5","Sep 23, 2017","","Sat","New Mexico","16","@","Tulsa","13",""
"260","256","5","Sep 23, 2017","","Sat","New Mexico State","41","","Texas-El Paso","14",""
"261","257","5","Sep 23, 2017","","Sat","North Carolina State","27","@","Florida State","21",""
"262","258","5","Sep 23, 2017","","Sat","North Texas","46","","Alabama-Birmingham","43",""
"263","259","5","Sep 23, 2017","","Sat","Notre Dame","38","@","Michigan State","18",""
"264","260","5","Sep 23, 2017","","Sat","Ohio","27","@","Eastern Michigan","20",""
"265","261","5","Sep 23, 2017","","Sat","Ohio State","54","","Nevada-Las Vegas","21",""
"266","262","5","Sep 23, 2017","","Sat","Oklahoma","49","@","Baylor","41",""
"267","263","5","Sep 23, 2017","","Sat","Penn State","21","@","Iowa","19",""
"268","264","5","Sep 23, 2017","","Sat","San Diego State","28","@","Air Force","24",""
"269","265","5","Sep 23, 2017","","Sat","South Carolina","17","","Louisiana Tech","16",""
"270","266","5","Sep 23, 2017","","Sat","Southern California","30","@","California","20",""
"271","267","5","Sep 23, 2017","","Sat","Southern Methodist","44","","Arkansas State","21",""
"272","268","5","Sep 23, 2017","","Sat","Stanford","58","","UCLA","34",""
"273","269","5","Sep 23, 2017","","Sat","Tennessee","17","","Massachusetts","13",""
"274","270","5","Sep 23, 2017","","Sat","Texas A&M","50","","Arkansas","43",""
"275","271","5","Sep 23, 2017","","Sat","Texas Christian","44","@","Oklahoma State","31",""
"276","272","5","Sep 23, 2017","","Sat","Texas Tech","27","@","Houston","24",""
"277","273","5","Sep 23, 2017","","Sat","Texas-San Antonio","44","@","Texas State","14",""
"278","274","5","Sep 23, 2017","","Sat","Troy","22","","Akron","17",""
"279","275","5","Sep 23, 2017","","Sat","Tulane","21","","Army","17",""
"280","276","5","Sep 23, 2017","","Sat","Utah State","61","@","San Jose State","10",""
"281","277","5","Sep 23, 2017","","Sat","Virginia Tech","38","","Old Dominion","0",""
"282","278","5","Sep 23, 2017","","Sat","Wake Forest","20","@","Appalachian State","19",""
"283","279","5","Sep 23, 2017","","Sat","Washington","37","@","Colorado","10",""
"284","280","5","Sep 23, 2017","","Sat","Washington State","45","","Nevada","7",""
"285","281","5","Sep 23, 2017","","Sat","West Virginia","56","@","Kansas","34",""
"286","282","5","Sep 23, 2017","","Sat","Non-Major","52","@","Coastal Carolina","10",""
"287","283","5","Sep 23, 2017","","Sat","Western Kentucky","33","","Ball State","21",""
"288","284","5","Sep 23, 2017","","Sat","Western Michigan","49","","Non-Major","14",""
"289","285","5","Sep 23, 2017","","Sat","Wyoming","28","","Hawaii","21",""
"290","286","5","Sep 24, 2017","","Sun","East Carolina","41","@","Connecticut","38",""
"292","287","6","Sep 28, 2017","","Thu","Texas","17","@","Iowa State","7",""
"293","288","6","Sep 29, 2017","","Fri","Miami (FL)","31","@","Duke","6",""
"294","289","6","Sep 29, 2017","","Fri","Nebraska","28","@","Illinois","6",""
"295","290","6","Sep 29, 2017","","Fri","Utah State","40","","Brigham Young","24",""
"296","291","6","Sep 29, 2017","","Fri","Washington State","30","","Southern California","27",""
"297","292","6","Sep 30, 2017","","Sat","Akron","34","@","Bowling Green State","23",""
"298","293","6","Sep 30, 2017","","Sat","Alabama","66","","Mississippi","3",""
"299","294","6","Sep 30, 2017","","Sat","Arkansas","42","","New Mexico State","24",""
"300","295","6","Sep 30, 2017","","Sat","Army","35","","Texas-El Paso","21",""
"301","296","6","Sep 30, 2017","","Sat","Auburn","49","","Mississippi State","10",""
"302","297","6","Sep 30, 2017","","Sat","Boston College","28","","Central Michigan","8",""
"303","298","6","Sep 30, 2017","","Sat","Buffalo","27","@","Kent State","13",""
"304","299","6","Sep 30, 2017","","Sat","Central Florida","40","","Memphis","13",""
"305","300","6","Sep 30, 2017","","Sat","Clemson","31","@","Virginia Tech","17",""
"306","301","6","Sep 30, 2017","","Sat","Colorado State","51","@","Hawaii","21",""
"307","302","6","Sep 30, 2017","","Sat","Florida","38","","Vanderbilt","24",""
"308","303","6","Sep 30, 2017","","Sat","Florida Atlantic","38","","Middle Tennessee State","20",""
"309","304","6","Sep 30, 2017","","Sat","Florida International","30","","Non-Major","29",""
"310","305","6","Sep 30, 2017","","Sat","Florida State","26","@","Wake Forest","19",""
"311","306","6","Sep 30, 2017","","Sat","Fresno State","41","","Nevada","21",""
"312","307","6","Sep 30, 2017","","Sat","Georgia","41","@","Tennessee","0",""
"313","308","6","Sep 30, 2017","","Sat","Georgia Tech","33","","North Carolina","7",""
"314","309","6","Sep 30, 2017","","Sat","Houston","20","@","Temple","13",""
"315","310","6","Sep 30, 2017","","Sat","Kansas State","33","","Baylor","20",""
"316","311","6","Sep 30, 2017","","Sat","Kentucky","24","","Eastern Michigan","20",""
"317","312","6","Sep 30, 2017","","Sat","Louisiana Tech","34","","South Alabama","16",""
"318","313","6","Sep 30, 2017","","Sat","Louisiana-Monroe","51","","Coastal Carolina","43",""
"319","314","6","Sep 30, 2017","","Sat","Louisville","55","","Non-Major","10",""
"320","315","6","Sep 30, 2017","","Sat","Marshall","38","@","Cincinnati","21",""
"321","316","6","Sep 30, 2017","","Sat","Maryland","31","@","Minnesota","24",""
"322","317","6","Sep 30, 2017","","Sat","Michigan State","17","","Iowa","10",""
"323","318","6","Sep 30, 2017","","Sat","Navy","31","@","Tulsa","21",""
"324","319","6","Sep 30, 2017","","Sat","Nevada-Las Vegas","41","","San Jose State","13",""
"325","320","6","Sep 30, 2017","","Sat","New Mexico","56","","Air Force","38",""
"326","321","6","Sep 30, 2017","","Sat","North Carolina State","33","","Syracuse","25",""
"327","322","6","Sep 30, 2017","","Sat","North Texas","43","@","Southern Mississippi","28",""
"328","323","6","Sep 30, 2017","","Sat","Notre Dame","52","","Miami (OH)","17",""
"329","324","6","Sep 30, 2017","","Sat","Ohio","58","@","Massachusetts","50",""
"330","325","6","Sep 30, 2017","","Sat","Ohio State","56","@","Rutgers","0",""
"331","326","6","Sep 30, 2017","","Sat","Oklahoma State","41","@","Texas Tech","34",""
"332","327","6","Sep 30, 2017","","Sat","Oregon","45","","California","24",""
"333","328","6","Sep 30, 2017","","Sat","Penn State","45","","Indiana","14",""
"334","329","6","Sep 30, 2017","","Sat","Pittsburgh","42","","Rice","10",""
"335","330","6","Sep 30, 2017","","Sat","San Diego State","34","","Northern Illinois","28",""
"336","331","6","Sep 30, 2017","","Sat","South Florida","61","@","East Carolina","31",""
"337","332","6","Sep 30, 2017","","Sat","Southern Methodist","49","","Connecticut","28",""
"338","333","6","Sep 30, 2017","","Sat","Stanford","34","","Arizona State","24",""
"339","334","6","Sep 30, 2017","","Sat","Texas A&M","24","","South Carolina","17",""
"340","335","6","Sep 30, 2017","","Sat","Troy","24","@","Louisiana State","21",""
