"","Rk","Wk","Date","Time","Day","Winner","Pts","","Loser","Pts.1","TV"
"172","169","4","Sep 17, 2016","","Sat","Arizona","47","","Hawaii","28","PAC12"
"173","170","4","Sep 17, 2016","","Sat","Arkansas","42","","Texas State","3","SECN"
"174","171","4","Sep 17, 2016","","Sat","Army","66","@","Texas-El Paso","14",""
"175","172","4","Sep 17, 2016","","Sat","Ball State","41","","Non-Major","14","ESPN3"
"176","173","4","Sep 17, 2016","","Sat","California","50","","Texas","43","ESPN"
"177","174","4","Sep 17, 2016","","Sat","Central Michigan","44","","Nevada-Las Vegas","21","ESPN3"
"178","175","4","Sep 17, 2016","","Sat","Clemson","59","","Non-Major","0","ESPN3"
"179","176","4","Sep 17, 2016","","Sat","Colorado State","47","","Non-Major","21",""
"180","177","4","Sep 17, 2016","","Sat","Connecticut","13","","Virginia","10","ESPN3"
"181","178","4","Sep 17, 2016","","Sat","Eastern Michigan","37","@","Non-Major","19",""
"182","179","4","Sep 17, 2016","","Sat","Florida","32","","North Texas","0","ESPNU"
"183","180","4","Sep 17, 2016","","Sat","Georgia","28","@","Missouri","27","SECN"
"184","181","4","Sep 17, 2016","","Sat","Georgia Southern","23","","Louisiana-Monroe","21","ESPN3"
"185","182","4","Sep 17, 2016","","Sat","Georgia Tech","38","","Vanderbilt","7","ESPN3"
"186","183","4","Sep 17, 2016","","Sat","Kansas State","63","","Florida Atlantic","7",""
"187","184","4","Sep 17, 2016","","Sat","Kent State","27","","Non-Major","7","ESPN3"
"188","185","4","Sep 17, 2016","","Sat","Kentucky","62","","New Mexico State","42","SECN"
"189","186","4","Sep 17, 2016","","Sat","Louisiana","28","","South Alabama","23","ESPN3"
"190","187","4","Sep 17, 2016","","Sat","Louisiana State","23","","Mississippi State","20","ESPN"
"191","188","4","Sep 17, 2016","","Sat","Louisville","63","","Florida State","20","ABC"
"192","189","4","Sep 17, 2016","","Sat","Maryland","30","@","Central Florida","24","CBSSN"
"193","190","4","Sep 17, 2016","","Sat","Massachusetts","21","","Florida International","13","ESPN3"
"194","191","4","Sep 17, 2016","","Sat","Memphis","43","","Kansas","7","ESPNU"
"195","192","4","Sep 17, 2016","","Sat","Miami (FL)","45","@","Appalachian State","10","ESPN"
"196","193","4","Sep 17, 2016","","Sat","Michigan","45","","Colorado","28","BTN"
"197","194","4","Sep 17, 2016","","Sat","Michigan State","36","@","Notre Dame","28","NBC"
"198","195","4","Sep 17, 2016","","Sat","Middle Tennessee State","41","@","Bowling Green State","21","ESPN3"
"199","196","4","Sep 17, 2016","","Sat","Navy","21","@","Tulane","14","ESPN3"
"200","197","4","Sep 17, 2016","","Sat","Nebraska","35","","Oregon","32","ABC"
"201","198","4","Sep 17, 2016","","Sat","Nevada","38","","Buffalo","14","CAMP"
"202","199","4","Sep 17, 2016","","Sat","North Carolina","56","","Non-Major","28","ESPN3"
"203","200","4","Sep 17, 2016","","Sat","North Carolina State","49","","Old Dominion","22",""
"204","201","4","Sep 17, 2016","","Sat","Non-Major","23","@","Iowa","21","ESPN"
"205","202","4","Sep 17, 2016","","Sat","Northwestern","24","","Duke","13","BTN"
