"Team","X","Opponent","Date","Game.ID","Off.Plays","Off.Tot.Yds","Off.Tot.Avg","Off.Pass","Off.Rush","Off.Pen","Off.Tot","Off.Fum","Off.Tot.TD","Off.Pass.Att","Off.Cmp","Off.Pct","Off.Pass.Yds","Off.Pass.Avg","Off.Pass.TD","Off.Int","Off.Rush.Att","Off.Rush.Yds","Off.Rush.Avg","Off.Rush.TD","Off.X.2PM","Off.X.2PM.Pass","Off.X.2PM.Rush","Off.Points","Off.FGA","Off.FGM","Off.XPA","Off.XPM","Off.X3rdDown..Attempts","Off.X3rdDown..Conversions","Off.X3rdDown..Conversion..","Off.X4thDown..Attempts","Off.X4thDown..Conversions","Off.X4thDown..Conversion..","Off.RedZone..Attempts","Off.RedZone..Scores","Off.RedZone..Score..","Off.RedZone..TD","Off.RedZone..TD..","Off.RedZone..FG","Off.RedZone..FG..","Off.FGF","Off.FG.","Off.XPF","Off.XP.","Off.Incmp","Off.X3rdDown..Failed","Off.Tot.TO","Off.Points.Team","Off.Pass.Pts","Off.Rush.Pts","Off.Kicking.Pts","Off.ST.KickRet.Ret","Off.ST.KickRet.Yds","Off.ST.KickRet.Avg","Off.ST.KickRet.TD","Off.ST.PuntRet.Ret","Off.ST.PuntRet.Yds","Off.ST.PuntRet.Avg","Off.ST.PuntRet.TD","Off.ST.Punting.Punts","Off.ST.Punting.Yds","Off.ST.Punting.Avg","Off.ST.Kickoff.No","Off.ST.Kickoff.Yds","Off.ST.Kickoff.Avg","Off.ST.Kickoff.Touchbacks","Off.ST.Kickoff.Touchbacks..","Off.ST.Kickoff.OutOfBounds","Off.ST.Kickoff.Onside","Off.ST.Tot.TO","Off.ST.Return.TD","Off.ST.Return.Points","Off.ST.Return.Yds","Off.ST.Return.Ret","Off.ST.Return.Avg","Def.FGR.TD","Def.Sfty","Def.QB.Hurries","Def.KicksPunts.Blocked","Def.Points.Team","Def.Tackles.Solo","Def.Tackles.Ast","Def.Tackles.Tot","Def.Tackles.Loss","Def.Tackles.Sk","Def.Int.Int","Def.Int.Yds","Def.Int.Avg","Def.Int.TD","Def.Int.PD","Def.Fumbles.FR","Def.Fumbles.Yds","Def.Fumbles.TD","Def.Fumbles.FF","Def.Tot.Yds","Def.Tot.TD","Def.Tot.Pts","Def.Tot.TO","Def.ST.KicksPunts.Blocked","Def.ST.Fumbles.TD","Def.ST.Receiving.TD","Def.ST.Receiving.Pts","Off_w_ST.Tot.TO","Off_w_ST.Fum","Off_w_ST.Int","Def_w_ST.Tot.Fumbles.TD","Off.X4thDown..Failed","Off_w_ST.Plays","Off_w_ST.Yds","Off_w_ST.Yds.Avg","Off_w_ST.Pts","Off_w_ST.TD","Def_w_ST.TD","Def_w_ST.Pts","Def_w_ST.Yds","Off.Minus.Def.Points.Margin","Off_w_ST.Minus.Def_w_ST.Points.Margin","Off.Minus.Def.Yds.Margin","Off_w_ST.Minus.Def_w_ST.Yds.Margin","Off.Minus.Def.TD.Margin","Off_w_ST.Minus.Def_w_ST.TD.Margin","Off_w_ST.TD.TO.Diff","Off_w_ST.Tot.TO.NonScoring","Off.TD.FR.by.Off","No.Possessions","No.Empty.Possessions","No.Scoring.Possessions","No.Negative.Possessions","Homefield"
"Air Force","@","San Jose State","2016-11-19",11,78,457,5.9,16,9,3,28,1,5,37,25,67.6,340,9.2,2,2,41,117,2.85,3,1,0,1,38,1,1,4,3,12,7,58.33,2,2,100,6,5,83.33,4,66.67,1,16.67,0,1,1,0.75,12,5,3,38,12,20,6,3,15,5,0,0,0,0,0,3,119,39.67,6,343,57.17,3,50,1,0,0,0,0,15,3,5,0,0,3,0,38,45,30,75,8,5,2,33,16.5,0,0,1,0,0,1,33,0,0,3,0,0,0,0,3,1,2,0,0,81,472,5.82716049382716,38,5,0,0,33,38,38,424,439,5,5,2,3,0,12,6,6,0,"@"
"Air Force","","Boise State","2016-11-25",12,51,400,7.8,8,3,1,12,1,2,26,9,34.6,316,12.2,1,0,25,84,3.36,1,0,0,0,20,2,2,2,2,12,1,8.33,2,1,50,4,3,75,1,25,2,50,0,1,0,1,17,11,1,20,6,6,8,3,50,16.67,0,2,12,6,0,7,294,42,4,259,64.75,2,50,0,0,0,0,0,62,5,12.4,0,0,0,1,20,24,22,46,3,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,56,462,8.25,20,2,0,0,0,20,20,400,462,2,2,1,1,0,13,9,4,0,""
"Air Force","N","South Alabama","2016-12-30",13,47,313,6.7,7,6,0,13,2,3,26,10,38.5,245,9.4,1,1,21,68,3.24,2,0,0,0,21,0,0,3,3,8,3,37.5,0,0,0,2,2,100,2,100,0,0,0,0,0,1,16,5,3,21,6,12,3,4,46,11.5,0,1,5,5,0,5,185,37,4,254,63.5,2,50,0,0,0,0,0,51,5,10.2,0,0,0,0,21,28,2,30,4,1,1,0,0,0,3,2,0,0,1,0,0,0,3,0,0,0,0,3,2,1,0,0,52,364,7,21,3,0,0,0,21,21,313,364,3,3,0,3,0,11,8,3,0,"N"
"Akron","","Non-Major","2016-09-03",14,82,386,4.7,10,6,4,20,0,3,37,28,75.7,300,8.1,2,0,45,86,1.91,1,0,0,0,24,4,1,3,3,17,6,35.29,2,0,0,4,4,100,3,75,1,25,3,0.25,0,1,9,11,0,24,12,6,6,6,127,21.17,0,0,0,0,0,5,182,36.4,5,318,63.6,2,40,0,0,0,0,0,127,6,21.1666666666667,0,0,2,1,24,57,28,85,15,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,6,0,0,0,0,2,88,513,5.82954545454545,24,3,0,6,0,24,18,386,513,3,2,3,0,1,14,10,4,0,""
"Akron","@","Wisconsin","2016-09-10",15,82,586,7.1,18,12,2,32,0,7,27,20,74.1,292,10.8,3,0,55,294,5.35,4,0,0,0,52,1,1,7,7,15,10,66.67,1,0,0,7,6,85.71,5,71.43,1,14.29,0,1,0,1,7,5,0,54,18,24,10,3,62,20.67,0,3,19,6.33,0,2,75,37.5,9,558,62,5,55.56,1,0,0,0,0,81,6,13.5,0,0,1,0,54,52,38,90,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88,667,7.57954545454545,52,7,0,0,0,52,52,586,667,7,7,7,0,0,11,3,8,0,"@"
"Akron","@","Marshall","2016-09-17",16,97,560,5.8,17,8,6,31,1,5,59,33,55.9,446,7.6,4,3,38,114,3,1,0,0,0,38,1,1,5,5,17,6,35.29,3,3,100,5,4,80,3,60,1,20,0,1,0,1,26,11,4,38,24,6,8,8,174,21.75,0,3,20,6.67,0,5,163,32.6,6,386,64.33,4,66.67,0,1,0,0,0,194,11,17.6363636363636,0,0,10,1,38,35,82,117,11,3,3,73,73,1,3,1,0,0,1,73,1,6,4,1,1,1,6,4,1,3,1,0,108,754,6.98148148148148,38,5,2,12,73,32,26,487,681,4,3,1,2,0,15,9,6,2,"@"
"Akron","","Appalachian State","2016-09-24",17,80,587,7.3,16,13,1,30,1,6,31,22,71,280,9,3,0,49,307,6.27,3,0,0,0,45,1,1,6,6,13,7,53.85,3,1,33.33,4,3,75,2,50,1,25,0,1,0,1,9,6,1,45,18,18,9,7,175,25,0,1,12,12,0,1,35,35,8,480,60,5,62.5,1,0,0,0,0,187,8,23.375,0,0,1,0,45,51,36,87,6,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,88,774,8.79545454545454,45,6,0,0,0,45,45,587,774,6,6,5,1,0,11,4,7,0,""
"Akron","@","Kent State","2016-10-01",18,77,423,5.5,11,8,1,20,0,3,36,19,52.8,285,7.9,2,0,41,138,3.37,1,0,0,0,27,3,2,3,3,18,8,44.44,2,1,50,6,5,83.33,3,50,2,33.33,1,0.666666666666667,0,1,17,10,0,27,12,6,9,6,136,22.67,0,2,15,7.5,0,6,269,44.83,6,313,52.17,0,0,0,0,0,0,0,151,8,18.875,0,0,2,0,27,48,34,82,9,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,574,6.75294117647059,27,3,0,0,0,27,27,423,574,3,3,3,0,0,13,8,5,0,"@"
"Akron","","Miami (OH)","2016-10-08",19,62,260,4.2,9,6,0,15,1,1,28,14,50,153,5.5,1,2,34,107,3.15,0,0,0,0,13,2,2,1,1,12,1,8.33,1,1,100,3,3,100,1,33.33,2,66.67,0,1,0,1,14,11,3,13,6,0,7,6,109,18.17,0,0,0,0,0,6,225,37.5,4,242,60.5,2,50,1,0,0,0,0,109,6,18.1666666666667,0,0,1,0,13,34,28,62,5,2,2,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,3,1,2,0,0,68,369,5.42647058823529,13,1,0,0,0,13,13,260,369,1,1,-2,3,0,12,9,3,0,""
"Akron","","Western Michigan","2016-10-15",20,87,585,6.7,10,20,1,31,1,6,31,21,67.7,207,6.7,2,0,56,378,6.75,4,0,0,0,41,1,0,6,5,18,14,77.78,1,1,100,7,6,85.71,6,85.71,0,0,1,0,1,0.833333333333333,10,4,1,41,12,24,5,0,0,0,0,2,17,8.5,0,2,89,44.5,7,439,62.71,3,42.86,0,0,0,0,0,17,2,8.5,0,0,3,0,41,42,56,98,2,1,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,89,602,6.76404494382022,41,6,0,0,0,41,41,585,602,6,6,5,1,0,10,4,6,0,""
"Akron","@","Ball State","2016-10-22",21,78,443,5.7,8,20,0,28,0,3,34,23,67.6,187,5.5,1,1,44,256,5.82,2,1,0,1,25,1,1,2,2,15,7,46.67,4,3,75,6,4,66.67,3,50,1,16.67,0,1,0,1,11,8,1,25,6,14,5,5,97,19.4,0,1,0,0,0,3,133,44.33,5,288,57.6,0,0,1,0,0,0,0,97,6,16.1666666666667,0,0,0,0,25,34,60,94,4,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,84,540,6.42857142857143,25,3,0,0,0,25,25,443,540,3,3,2,1,0,9,5,4,0,"@"
"Akron","@","Buffalo","2016-10-27",22,63,518,8.2,4,15,0,19,0,5,21,7,33.3,140,6.7,1,1,42,378,9,4,0,0,0,41,2,2,5,5,10,1,10,0,0,0,4,4,100,2,50,2,50,0,1,0,1,14,9,1,41,6,24,11,5,99,19.8,0,2,24,12,0,7,262,37.43,7,340,48.57,0,0,1,0,0,0,0,123,7,17.5714285714286,0,0,2,0,41,33,28,61,1,0,1,34,34,0,5,0,0,0,0,34,0,0,1,0,0,0,0,1,0,1,0,0,70,641,9.15714285714286,41,5,0,0,34,41,41,484,607,5,5,4,1,0,15,8,7,0,"@"
"Akron","","Toledo","2016-11-02",23,86,622,7.2,16,15,2,33,0,6,38,27,71.1,332,8.7,3,0,48,290,6.04,3,0,0,0,48,2,2,6,6,16,11,68.75,1,1,100,7,7,100,5,71.43,2,28.57,0,1,0,1,11,5,0,48,18,18,12,3,69,23,0,2,10,5,0,2,87,43.5,8,482,60.25,3,37.5,0,0,0,0,0,79,5,15.8,0,0,2,0,48,51,34,85,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,701,7.7032967032967,48,6,0,0,0,48,48,622,701,6,6,6,0,0,10,2,8,0,""
"Akron","","Bowling Green State","2016-11-09",24,69,323,4.7,13,4,1,18,1,4,23,11,47.8,105,4.6,0,1,46,218,4.74,4,0,0,0,32,1,1,5,5,13,2,15.38,2,2,100,5,4,80,3,60,1,20,0,1,0,1,12,11,2,38,0,24,8,6,117,19.5,0,4,29,7.25,0,9,350,38.89,7,345,49.29,1,14.29,1,0,0,0,0,146,10,14.6,0,0,1,0,38,48,24,72,6,2,1,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,2,1,1,0,0,79,469,5.93670886075949,32,4,0,0,0,32,32,323,469,4,4,2,2,0,16,11,5,0,""
"Akron","@","Ohio","2016-11-22",25,60,301,5,7,8,2,17,1,0,25,14,56,169,6.8,0,0,36,130,3.61,0,0,0,0,9,3,3,0,0,14,6,42.86,2,0,0,4,3,75,0,0,3,75,0,1,0,0,11,8,1,9,0,0,9,1,20,20,0,1,11,11,0,3,111,37,4,216,54,0,0,0,0,0,0,0,31,2,15.5,0,0,1,0,9,40,16,56,2,1,0,0,0,0,5,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,62,332,5.35483870967742,9,0,0,0,0,9,9,301,332,0,0,-1,1,0,9,6,3,0,"@"
"Alabama","N","Southern California","2016-09-03",26,67,194,2.9,4,5,2,11,0,0,37,18,48.6,130,3.5,0,1,30,64,2.13,0,0,0,0,6,2,2,0,0,18,4,22.22,2,0,0,1,1,100,0,0,1,100,0,1,0,0,19,14,1,6,0,0,6,5,117,23.4,0,1,15,15,0,10,403,40.3,3,192,64,1,33.33,1,0,0,0,0,132,6,22,0,0,1,0,6,42,16,58,9,3,1,18,18,1,7,0,0,0,0,18,1,6,1,0,0,0,0,1,0,1,0,2,73,326,4.46575342465753,6,0,1,6,18,0,0,176,308,-1,-1,-1,0,0,15,13,2,1,"N"
"Alabama","","Western Kentucky","2016-09-10",27,60,239,4,9,2,1,12,0,1,38,19,50,216,5.7,1,2,22,23,1.05,0,0,0,0,10,2,1,1,1,16,6,37.5,1,0,0,1,1,100,0,0,1,100,1,0.5,0,1,19,10,2,10,6,0,4,3,61,20.33,0,2,13,6.5,0,8,376,47,3,193,64.33,0,0,0,0,0,0,0,74,5,14.8,0,0,6,1,10,32,23,55,5,4,2,61,61,1,4,0,0,0,2,61,1,6,2,1,0,0,0,2,0,2,0,1,65,313,4.81538461538462,10,1,1,6,61,4,4,178,252,0,0,-1,1,0,14,12,2,1,""
"Alabama","@","Mississippi","2016-09-17",28,73,522,7.2,17,4,2,23,2,4,40,26,65,421,10.5,3,0,33,101,3.06,1,0,0,0,37,3,3,4,4,15,5,33.33,0,0,0,4,3,75,1,25,2,50,0,1,0,1,14,10,2,43,18,6,13,2,32,16,0,1,3,3,0,6,310,51.67,8,521,65.13,4,50,1,1,0,0,0,35,3,11.6666666666667,0,0,2,0,43,34,42,76,5,3,0,75,0,1,6,2,0,0,2,75,1,6,2,0,1,1,6,2,2,0,1,0,76,557,7.32894736842105,37,4,2,12,75,31,25,447,482,3,2,2,0,0,15,8,7,2,"@"
"Alabama","","Kent State","2016-09-24",29,46,166,3.6,2,2,1,5,1,0,16,7,43.8,84,5.3,0,0,30,82,2.73,0,0,0,0,0,1,0,0,0,13,1,7.69,2,1,50,1,0,0,0,0,0,0,1,0,0,0,9,12,1,0,0,0,0,4,57,14.25,0,0,0,0,0,9,414,46,1,36,36,0,0,0,0,0,0,0,57,4,14.25,0,0,6,0,0,26,29,55,5,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,50,223,4.46,0,0,0,0,0,0,0,166,223,0,0,-1,1,0,12,12,0,0,""
"Alabama","","Kentucky","2016-10-01",30,58,161,2.8,4,7,1,12,2,0,22,13,59.1,89,4,0,0,36,72,2,0,0,0,0,6,2,2,0,0,17,6,35.29,1,1,100,1,1,100,0,0,1,100,0,1,0,0,9,11,2,6,0,0,6,3,79,26.33,0,0,0,0,0,6,268,44.67,3,188,62.67,1,33.33,0,0,0,0,0,79,3,26.3333333333333,0,0,6,0,6,40,24,64,9,4,0,0,0,0,1,2,0,0,3,0,0,0,2,0,1,1,6,2,2,0,1,0,61,240,3.9344262295082,6,0,1,6,0,6,0,161,240,0,-1,-2,1,0,10,8,2,1,""
"Alabama","@","Arkansas","2016-10-08",31,84,473,5.6,13,7,5,25,2,4,48,25,52.1,400,8.3,3,3,36,73,2.03,1,0,0,0,30,1,1,3,3,16,8,50,2,1,50,5,4,80,3,60,1,20,0,1,0,1,23,8,5,30,18,6,6,4,87,21.75,0,0,0,0,0,4,211,52.75,5,306,61.2,0,0,0,1,0,0,0,87,4,21.75,0,0,12,0,30,40,34,74,9,6,3,114,38,1,5,2,0,0,3,114,1,6,5,0,1,1,6,5,2,3,1,1,88,560,6.36363636363636,30,4,2,12,114,24,18,359,446,3,2,-1,3,0,15,10,5,2,"@"
"Alabama","@","Tennessee","2016-10-15",32,63,163,2.6,8,2,1,11,0,1,31,18,58.1,131,4.2,0,1,32,32,1,1,0,0,0,10,1,1,1,1,16,3,18.75,1,0,0,2,2,100,1,50,1,50,0,1,0,1,13,13,1,10,0,6,4,4,116,29,0,2,60,30,0,10,483,48.3,3,190,63.33,1,33.33,1,0,0,0,0,176,6,29.3333333333333,0,0,4,0,10,44,22,66,10,3,1,58,58,1,6,0,0,0,0,58,1,6,1,0,0,0,0,1,0,1,0,1,69,339,4.91304347826087,10,1,1,6,58,4,4,105,281,0,0,0,0,0,14,12,2,1,"@"
"Alabama","","Texas A&M","2016-10-22",33,69,278,4,7,9,1,17,1,2,31,14,45.2,164,5.3,2,1,38,114,3,0,0,0,0,14,0,0,2,2,16,5,31.25,3,1,33.33,1,1,100,1,100,0,0,0,0,0,1,17,11,2,14,12,0,2,5,97,19.4,0,1,2,2,0,6,255,42.5,3,170,56.67,1,33.33,0,0,0,0,0,99,6,16.5,0,0,9,0,14,46,18,64,11,5,1,0,0,0,4,1,30,1,2,30,1,6,2,0,0,0,0,2,1,1,1,2,75,377,5.02666666666667,14,2,1,6,30,8,8,248,347,1,1,0,1,0,12,10,2,1,""
"Alabama","@","Louisiana State","2016-11-05",34,51,125,2.5,2,4,0,6,0,0,24,11,45.8,92,3.8,0,1,27,33,1.22,0,0,0,0,0,1,0,0,0,15,4,26.67,2,0,0,0,0,0,0,0,0,0,1,0,0,0,13,11,1,0,0,0,0,1,27,27,0,3,16,5.33,0,8,336,42,1,65,65,0,0,0,0,0,0,0,43,4,10.75,0,0,3,1,0,20,44,64,9,5,1,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,2,55,168,3.05454545454545,0,0,0,0,0,0,0,125,168,0,0,-1,1,0,12,12,0,0,"@"
